,project,target_path,mutant_op,occurrence,claimed_by,id,equivalent_private,equivalent_public,comment
1047,apimd,__main__.py,core/ReplaceComparisonOperator_Eq_Is,0,,f13a1896,,,
905,apimd,__main__.py,core/ReplaceComparisonOperator_Eq_LtE,2,"debugging_one_shot, debugging_zero_shot",e49eee1c,,,
1328,apimd,compiler.py,core/AddNot,2,,79f62dd2,,,
1539,apimd,compiler.py,core/AddNot,49,debugging_zero_shot,51560e30,,,
1157,apimd,compiler.py,core/NumberReplacer,42,,a1a52918,,,
857,apimd,compiler.py,core/NumberReplacer,45,,6e68d6cd,,,
1140,apimd,compiler.py,core/ReplaceComparisonOperator_Eq_Is,0,"debugging_one_shot, debugging_zero_shot",e799afb2,,,
846,apimd,compiler.py,core/ReplaceComparisonOperator_Eq_Is,2,"debugging_one_shot, debugging_zero_shot",0323ddd7,,,
1016,apimd,compiler.py,core/ReplaceComparisonOperator_Eq_Is,5,"debugging_one_shot, debugging_zero_shot",88f00e78,,,
1418,apimd,compiler.py,core/ReplaceComparisonOperator_Eq_Lt,0,debugging_zero_shot,24a9eb69,,,
981,apimd,compiler.py,core/ReplaceComparisonOperator_Eq_NotEq,0,,e56929a8,,,
1340,apimd,compiler.py,core/ReplaceComparisonOperator_Is_Eq,1,"debugging_one_shot, debugging_zero_shot",0a07d6c9,,,
1367,apimd,compiler.py,core/ReplaceComparisonOperator_Lt_IsNot,0,debugging_zero_shot,390f1bfa,,,
1433,apimd,compiler.py,core/ReplaceComparisonOperator_NotEq_IsNot,0,debugging_one_shot,eea33ca6,,,
986,apimd,compiler.py,core/ReplaceUnaryOperator_USub_Not,1,debugging_zero_shot,09dbc646,,,
27308,codetiming,_timer.py,core/NumberReplacer,0,debugging_one_shot,e7a4cfef,,,
17855,codetiming,_timer.py,core/NumberReplacer,1,baseline_with_iterations,9773ffe6,,,
27334,codetiming,_timer.py,core/ReplaceBinaryOperator_Mul_Add,0,,598263d4,,,
28883,codetiming,_timer.py,core/ReplaceBinaryOperator_Mul_Sub,0,"debugging_one_shot, debugging_zero_shot",eb3270b1,,,
17859,codetiming,_timer.py,core/ReplaceBinaryOperator_Sub_Mod,0,baseline_with_iterations,66d27b4f,,,
28896,codetiming,_timer.py,core/ReplaceFalseWithTrue,0,"debugging_one_shot, debugging_zero_shot",b2b6bfa4,,,
27324,codetiming,_timer.py,core/ReplaceFalseWithTrue,2,debugging_one_shot,bc0f76a1,,,
27301,codetiming,_timers.py,core/NumberReplacer,4,,f8f5b47a,,,
27317,codetiming,_timers.py,core/NumberReplacer,5,,bb65e90c,,,
28877,codetiming,_timers.py,core/NumberReplacer,8,debugging_zero_shot,6e618529,,,
28878,codetiming,_timers.py,core/NumberReplacer,9,debugging_one_shot,9f8d7004,,,
18715,dataclasses-json,api.py,core/ReplaceTrueWithFalse,1,"debugging_one_shot, debugging_zero_shot",b3ebc64a,,,
18845,dataclasses-json,core.py,core/ReplaceAndWithOr,6,"debugging_one_shot, debugging_zero_shot",3a62475f,,,
18846,dataclasses-json,core.py,core/ReplaceComparisonOperator_NotEq_IsNot,0,,53647d41,,,
18473,dataclasses-json,core.py,core/ReplaceTrueWithFalse,0,,60a6e4e0,,,
18722,dataclasses-json,mm.py,core/AddNot,26,debugging_zero_shot,220e6b71,,,
18093,dataclasses-json,mm.py,core/ReplaceComparisonOperator_IsNot_NotEq,3,debugging_one_shot,4fedb96e,,,
18602,dataclasses-json,undefined.py,core/RemoveDecorator,1,,3567c722,,,
18819,dataclasses-json,undefined.py,core/RemoveDecorator,2,"debugging_one_shot, debugging_zero_shot",fb006602,,,
18954,dataclasses-json,undefined.py,core/RemoveDecorator,4,,608f1fd4,,,
19788,dataclasses-json,undefined.py,core/RemoveDecorator,12,baseline_with_iterations,7b169b6e,,,
18086,dataclasses-json,undefined.py,core/ReplaceBinaryOperator_Sub_Add,3,"debugging_one_shot, debugging_zero_shot",65363261,,,
20058,dataclasses-json,undefined.py,core/ReplaceBinaryOperator_Sub_BitAnd,2,"baseline_with_iterations, debugging_zero_shot",557519d0,,,
18667,dataclasses-json,undefined.py,core/ReplaceBinaryOperator_Sub_Mul,3,,72fedc96,,,
18707,dataclasses-json,undefined.py,core/ReplaceComparisonOperator_Eq_GtE,1,debugging_zero_shot,ce4500af,,,
18514,dataclasses-json,undefined.py,core/ReplaceComparisonOperator_Eq_Is,0,debugging_one_shot,70ed84b8,,,
18521,dataclasses-json,undefined.py,core/ReplaceComparisonOperator_Eq_LtE,1,"debugging_one_shot, debugging_zero_shot",b445a4cc,,,
18439,dataclasses-json,utils.py,core/NumberReplacer,3,debugging_one_shot,33a57265,,,
20806,docstring_parser,google.py,core/NumberReplacer,1,"debugging_one_shot, debugging_zero_shot",f83916a5,,,
20980,docstring_parser,google.py,core/NumberReplacer,4,debugging_zero_shot,63504f00,,,
21309,docstring_parser,google.py,core/ReplaceComparisonOperator_Eq_GtE,0,,5f866878,,,
20849,docstring_parser,google.py,core/ReplaceComparisonOperator_Eq_Is,0,"debugging_one_shot, debugging_zero_shot",48bb8129,,,
21349,docstring_parser,google.py,core/ReplaceComparisonOperator_Eq_Is,1,debugging_zero_shot,dbdea9b3,,,
20357,docstring_parser,google.py,core/ReplaceComparisonOperator_Eq_Is,2,,d0ac6ec9,,,
20961,docstring_parser,google.py,core/ReplaceContinueWithBreak,0,,4f389877,,,
21356,docstring_parser,numpydoc.py,core/NumberReplacer,3,debugging_one_shot,ccde1275,,,
20332,docstring_parser,numpydoc.py,core/ReplaceComparisonOperator_Gt_GtE,1,,643eedf4,,,
20454,docstring_parser,numpydoc.py,core/ReplaceComparisonOperator_Gt_NotEq,1,"debugging_one_shot, debugging_zero_shot",ba1af9ff,,,
21179,docstring_parser,numpydoc.py,core/ReplaceComparisonOperator_Gt_NotEq,2,debugging_one_shot,d20fa12c,,,
20820,docstring_parser,parser.py,core/ReplaceComparisonOperator_NotEq_IsNot,0,,05e1d679,,,
20875,docstring_parser,rest.py,core/ReplaceBinaryOperator_BitOr_Add,1,"debugging_one_shot, debugging_zero_shot",c06684c6,,,
8373,docstring_parser,rest.py,core/ReplaceBinaryOperator_BitOr_BitXor,0,baseline_with_iterations,a8e375a6,,,
20403,docstring_parser,rest.py,core/ReplaceComparisonOperator_Eq_LtE,5,debugging_one_shot,efaeba4b,,,
20901,docstring_parser,rest.py,core/ReplaceContinueWithBreak,0,"debugging_one_shot, debugging_zero_shot",7b906574,,,
21955,flake8,checker.py,core/NumberReplacer,1,"debugging_one_shot, debugging_zero_shot",03276556,,,
14349,flake8,checker.py,core/ReplaceComparisonOperator_Eq_Is,2,baseline_with_iterations,61d418dd,,,
24527,flake8,checker.py,core/ReplaceComparisonOperator_Eq_LtE,3,,dfbd771d,,,
22057,flake8,checker.py,core/ReplaceFalseWithTrue,1,,ff16ed6a,,,
